Order,Janus1,Janus2,Epimetheus1,Epimetheus2
2:1,96235.150436578,96248.142084628,96265.101223141,96218.292733170
3:1,74051.968797584,74061.788329491,74074.606673308,74039.227215341
3:2,115943.966749995,115959.798275181,115980.464511888,115923.424036331
4:2,95979.967410581,95992.995819950,96010.002929823,95963.061990149
4:3,125250.859597310,125268.008217578,125290.393759806,125228.607833171
5:3,108117.191770623,108131.943782508,108151.200841323,108098.049817414
5:4,130683.741757428,130701.654970675,130725.038595933,130660.497865453
6:4,115863.329659446,115879.172882475,115899.854384119,115842.771761658
6:5,134247.454656429,134265.868066672,134289.904638511,134223.561714389
7:5,121247.602610317,121264.201663416,121285.869809544,121226.063955719
7:6,136765.832642854,136784.598974401,136809.096242379,136741.481754178
8:6,125211.145883882,125228.300263709,125250.693321796,125188.886643675
9:7,128252.255492250,128269.835452310,128292.784054104,128229.444024128
10:8,130660.064479063,130677.981124289,130701.369228062,130636.816132286
11:9,132614.079520544,132632.269240468,132656.013810443,132590.476835336
12:10,134231.721565091,134250.137254808,134274.176801216,134207.825664233
13:11,135593.066853072,135611.672647450,135635.960352685,135568.924274735
14:12,136754.616363695,136773.384319747,136797.883707602,136730.263366366
15:13,137757.385254436,137776.293175275,137800.975270381,137732.850640532